instance_id,depot_id,delivery_date,configuration,min_cluster_size,min_samples,time_weight,cluster_count,noise_fraction,min_cluster_size_observed,median_cluster_size,max_cluster_size,mean_intra_cluster_distance_km,median_intra_cluster_distance_km,spatial_purity,temporal_overlap_rate,split_count,merge_count,surviving_cluster_count,remaining_infeasible_cluster_count,seed
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,A_location,8,4,0,6,0.2525,19,73,99,1.6545402275489354,0.40429973201297753,0.9145,0.8696387498308754,5,45,39,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,B_location_time,8,4,5.0,2,0.025,8,10,382,2.7534934078182185,2.7429774243640526,0.976,0.8711081214650486,14,5,21,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,C_location_urgency,8,4,0,10,0.2275,9,19,85,1.471909400027549,0.4177259247470506,0.7065,0.8911788953009069,1,40,35,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,D_location_time_urgency,8,4,5.0,9,0.29,9,22.0,101,1.957413024757045,0.6886515900000106,0.6505,0.9008315368032029,2,67,34,0,0
D-CMB-002_2026-01-05,D-CMB-002,2026-01-05,A_location,8,4,0,5,0.1175,40,58.0,110,1.0420972592979336,0.3904453066881541,0.9390000000000001,0.8776134957337328,13,31,34,0,0
D-CMB-002_2026-01-05,D-CMB-002,2026-01-05,B_location_time,8,4,5.0,4,0.1125,45,86,110,1.1154412204927324,0.4500102045457005,0.9525,0.8750955151942632,11,26,34,0,0
D-CMB-002_2026-01-05,D-CMB-002,2026-01-05,C_location_urgency,8,4,0,10,0.145,9,21,97,1.427342608392644,0.4139903722381518,0.6805,0.8990426457789382,7,39,35,0,0
D-CMB-002_2026-01-05,D-CMB-002,2026-01-05,D_location_time_urgency,8,4,5.0,8,0.175,12,50,94,1.6961441471136083,0.4637187801808699,0.6644999999999999,0.8921016090827412,5,45,35,0,0
D-CMB-003_2026-01-05,D-CMB-003,2026-01-05,A_location,8,4,0,5,0.2225,23,78.0,102,1.4272028427334678,0.39112344955402856,0.9305,0.8699987378518238,4,65,27,0,0
D-CMB-003_2026-01-05,D-CMB-003,2026-01-05,B_location_time,8,4,5.0,3,0.1525,54,81.0,184,1.2216776433439571,0.880886704304193,0.9230000000000002,0.8799889025405255,8,44,26,0,0
D-CMB-003_2026-01-05,D-CMB-003,2026-01-05,C_location_urgency,8,4,0,8,0.19,13,30,85,1.425144882135542,0.446708404324978,0.7155,0.8891218653023568,5,51,29,0,0
D-CMB-003_2026-01-05,D-CMB-003,2026-01-05,D_location_time_urgency,8,4,5.0,7,0.2725,17,53.5,84,1.9445626701890417,0.5425010504441266,0.6444999999999999,0.8807510148849798,2,66,27,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,sensitivity_location_mcs5_ms3_tw0,5,3,0,10,0.205,5,21,96,1.2250444703854373,0.33346157919758423,0.9005000000000001,0.8693525850023288,5,41,35,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,sensitivity_location_time_mcs5_ms3_tw2,5,3,2,8,0.255,8,27,102,1.1987183198225928,0.3516415814678627,0.9129999999999999,0.8698405602741768,3,35,38,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,sensitivity_location_time_mcs5_ms3_tw10,5,3,10,5,0.255,9,84.0,121,1.9031232268750664,0.6118355379752012,0.8645,0.8698555760668911,7,63,40,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,sensitivity_location_mcs10_ms5_tw0,10,5,0,6,0.2775,17,76,99,1.7511159925611286,0.4093986367860619,0.9129999999999999,0.8702684563758389,5,49,40,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,sensitivity_location_time_mcs10_ms5_tw2,10,5,2,4,0.215,26,84,125,1.7798031779739565,0.5885109868512891,0.9079999999999999,0.8716308567054836,5,53,41,0,0
D-CMB-001_2026-01-05,D-CMB-001,2026-01-05,sensitivity_location_time_mcs10_ms5_tw10,10,5,10,4,0.2675,25,82,118,2.077011739853382,0.5970552961440082,0.8815000000000001,0.8700137174211249,7,70,40,0,0
